,address,price,details,zipcode,latitude,longitude,zpid,link
0,4208 Tulane Ave,"$1,423,500","5 bds 4 ba 3,850 sqft",90808,33.834447,-118.12702,21185205,https://www.zillow.com/homedetails/4208-Tulane-Ave-Long-Beach-CA-90808/21185205_zpid/
1,1582 W 31st St,"$649,999","5 bds 3 ba 2,209 sqft",90810,33.813704,-118.214044,21246921,https://www.zillow.com/homedetails/1582-W-31st-St-Long-Beach-CA-90810/21246921_zpid/
2,3615 Faust Ave,"$849,000","3 bds 2 ba 1,664 sqft",90808,33.822757,-118.114885,21187416,https://www.zillow.com/homedetails/3615-Faust-Ave-Long-Beach-CA-90808/21187416_zpid/
3,1312 E Luray St,"$659,000","4 bds 2 ba 1,836 sqft",90807,33.846127,-118.174668,21158828,https://www.zillow.com/homedetails/1312-E-Luray-St-Long-Beach-CA-90807/21158828_zpid/
4,5615 Dairy Ave,"$439,000",3 bds 1 ba 956 sqft,90805,33.857865,-118.193043,82869416,https://www.zillow.com/homedetails/5615-Dairy-Ave-Long-Beach-CA-90805/82869416_zpid/
5,1844 E 65th St,"$475,000","2 bds 1 ba 1,260 sqft",90805,33.872573,-118.169831,21146675,https://www.zillow.com/homedetails/1844-E-65th-St-Long-Beach-CA-90805/21146675_zpid/
6,1701 Orizaba Ave,"$449,000",3 bds 2 ba 892 sqft,90804,33.788193,-118.156965,21226948,https://www.zillow.com/homedetails/1701-Orizaba-Ave-Long-Beach-CA-90804/21226948_zpid/
7,2631 Daisy Ave,"$450,000","2 bds 1 ba 1,112 sqft",90806,33.804973,-118.199466,21191949,https://www.zillow.com/homedetails/2631-Daisy-Ave-Long-Beach-CA-90806/21191949_zpid/
8,100 Atlantic Ave APT 811,"$250,000",Studio1 ba 490 sqft,90802,33.768401,-118.184614,111372394,https://www.zillow.com/homedetails/100-Atlantic-Ave-APT-811-Long-Beach-CA-90802/111372394_zpid/
9,6831 E Septimo St,"$879,900","4 bds 2 ba 1,626 sqft",90815,33.775591,-118.100323,21211641,https://www.zillow.com/homedetails/6831-E-Septimo-St-Long-Beach-CA-90815/21211641_zpid/
10,63 Pomona Ave,"$1,600,000","3 bds 3 ba 2,119 sqft",90803,33.755895,-118.13426,21219531,https://www.zillow.com/homedetails/63-Pomona-Ave-Long-Beach-CA-90803/21219531_zpid/
11,4550 Graywood Ave,"$1,129,000","4 bds 3 ba 2,700 sqft",90808,33.841083,-118.137875,21184428,https://www.zillow.com/homedetails/4550-Graywood-Ave-Long-Beach-CA-90808/21184428_zpid/
12,115 E 59th St,"$575,000","3 bds 2 ba 1,621 sqft",90805,33.863009,-118.193751,21151906,https://www.zillow.com/homedetails/115-E-59th-St-Long-Beach-CA-90805/21151906_zpid/
13,5455 Dairy Ave,"$469,900",2 bds 1 ba 640 sqft,90805,33.855341,-118.19448,21152749,https://www.zillow.com/homedetails/5455-Dairy-Ave-Long-Beach-CA-90805/21152749_zpid/
14,3763 Faust Ave,"$724,900","3 bds 2 ba 1,807 sqft",90808,33.826829,-118.11492,21187296,https://www.zillow.com/homedetails/3763-Faust-Ave-Long-Beach-CA-90808/21187296_zpid/
15,1450 Locust Ave APT 123,"$179,900",1 bd1 ba 471 sqft,90813,33.784963,-118.190719,21235211,https://www.zillow.com/homedetails/1450-Locust-Ave-APT-123-Long-Beach-CA-90813/21235211_zpid/
16,6274 E Marina View Dr # 318,"$304,999","2 bds 2 ba 1,350 sqft",90803,33.767984,-118.113642,2082272498,https://www.zillow.com/homedetails/6274-E-Marina-View-Dr-318-Long-Beach-CA-90803/2082272498_zpid/
17,5436 E The Toledo,"$6,400,000","4 bds 4 ba 4,622 sqft",90803,33.75689,-118.129387,90137713,https://www.zillow.com/homedetails/5436-E-The-Toledo-Long-Beach-CA-90803/90137713_zpid/
18,4724 Montair Ave,"$699,990","3 bds 2 ba 1,432 sqft",90808,33.843758,-118.12604,21183644,https://www.zillow.com/homedetails/4724-Montair-Ave-Long-Beach-CA-90808/21183644_zpid/
19,640 W 4th St UNIT 314,"$315,000",1 bd1 ba 622 sqft,90802,33.77162,-118.20044,21239448,https://www.zillow.com/homedetails/640-W-4th-St-UNIT-314-Long-Beach-CA-90802/21239448_zpid/
20,1730 Lemon Ave,"$485,000","3 bds 2 ba 1,286 sqft",90813,33.789118,-118.178187,21234669,https://www.zillow.com/homedetails/1730-Lemon-Ave-Long-Beach-CA-90813/21234669_zpid/
21,3772 Albury Ave,"$915,000","6 bds 4 ba 2,700 sqft",90808,33.827169,-118.116959,21186146,https://www.zillow.com/homedetails/3772-Albury-Ave-Long-Beach-CA-90808/21186146_zpid/
22,1770 Ximeno Ave APT 206,"$400,000","2 bds 2 ba 1,076 sqft",90815,33.789477,-118.138436,21201021,https://www.zillow.com/homedetails/1770-Ximeno-Ave-APT-206-Long-Beach-CA-90815/21201021_zpid/
