address,price,details
4208+Tulane+Ave,"$1,423,500","5 bds 4 ba 3,850 sqft"
1582+W+31st+St,"$649,999","5 bds 3 ba 2,209 sqft"
3615+Faust+Ave,"$849,000","3 bds 2 ba 1,664 sqft"
1312+E+Luray+St,"$659,000","4 bds 2 ba 1,836 sqft"
5615+Dairy+Ave,"$439,000",3 bds 1 ba 956 sqft
1844+E+65th+St,"$475,000","2 bds 1 ba 1,260 sqft"
1701+Orizaba+Ave,"$449,000",3 bds 2 ba 892 sqft
2631+Daisy+Ave,"$450,000","2 bds 1 ba 1,112 sqft"
100+Atlantic+Ave+APT+811,"$250,000",Studio1 ba 490 sqft
6831+E+Septimo+St,"$879,900","4 bds 2 ba 1,626 sqft"
63+Pomona+Ave,"$1,600,000","3 bds 3 ba 2,119 sqft"
4550+Graywood+Ave,"$1,129,000","4 bds 3 ba 2,700 sqft"
115+E+59th+St,"$575,000","3 bds 2 ba 1,621 sqft"
5455+Dairy+Ave,"$469,900",2 bds 1 ba 640 sqft
3763+Faust+Ave,"$724,900","3 bds 2 ba 1,807 sqft"
1450+Locust+Ave+APT+123,"$179,900",1 bd1 ba 471 sqft
6274+E+Marina+View+Dr+#+318,"$304,999","2 bds 2 ba 1,350 sqft"
5436+E+The+Toledo,"$6,400,000","4 bds 4 ba 4,622 sqft"
4724+Montair+Ave,"$699,990","3 bds 2 ba 1,432 sqft"
640+W+4th+St+UNIT+314,"$315,000",1 bd1 ba 622 sqft
1730+Lemon+Ave,"$485,000","3 bds 2 ba 1,286 sqft"
3772+Albury+Ave,"$915,000","6 bds 4 ba 2,700 sqft"
1770+Ximeno+Ave+APT+206,"$400,000","2 bds 2 ba 1,076 sqft"
3008+Shadypark+Dr,"$825,000","5 bds 2 ba 2,104 sqft"
4738+Pearce+Ave,"$565,000",2 bds 1 ba 888 sqft
215+E+Ellis+St,"$550,000","3 bds 2 ba 1,474 sqft"
2946+Gale+Ave,"$559,900","3 bds 3 ba 1,666 sqft"
100+Atlantic+Ave+APT+612,"$418,000",2 bds 1 ba 730 sqft
7040+E+Mezzanine+Way,"$1,195,000","4 bds 2 ba 2,055 sqft"
504+Nebraska+Ave,"$525,000",2 bds 2 ba 830 sqft
4774+E+Malta+St+APT+1,"$549,900","3 bds 3 ba 1,660 sqft"
3603+Ostrom+Ave,"$784,900","3 bds 2 ba 1,659 sqft"
5150+E+Wardlow+Rd,"$658,000","4 bds 2 ba 1,604 sqft"
20+37th+Pl,"$10,995,000","3 bds 6 ba 7,692 sqft"
2840+E+10th+St,"$615,000","2 bds 2 ba 1,119 sqft"
6425+Orizaba+Ave,"$639,900","3 bds 2 ba 1,463 sqft"
1517+E+16th+St,"$369,000",1 bd1 ba 582 sqft
5203+E+Spring+St,"$689,000","3 bds 2 ba 1,130 sqft"
4219+E+6th+St,"$995,000","4 bds 3 ba 2,013 sqft"
1171+Bryant+Rd,"$2,595,000","5 bds 4 ba 4,134 sqft"
2160+Pine+Ave,"$620,000","4 bds 2 ba 2,144 sqft"
85+Prospect+Ave,"$1,079,900","3 bds 1 ba 1,390 sqft"
2905+Magnolia+Ave,"$834,900","3 bds 3 ba 2,393 sqft"
3126+Charlemagne+Ave,"$739,900","3 bds 2 ba 1,309 sqft"
2919+E+Vista+St,"$1,199,999","5 bds 2 ba 2,054 sqft"
1723+Cedar+Ave+UNIT+318,"$315,000",2 bds 2 ba 826 sqft
3714+Maine+Ave,"$649,000","3 bds 2 ba 1,825 sqft"
3595+Santa+Fe+Ave+SPC+288,"$499,000","3 bds 2 ba 1,600 sqft"
1582+W+31st+St,"$649,999","5 bds 3 ba 2,209 sqft"
800+E+Ocean+Blvd+UNIT+1508,"$750,000","2 bds 2 ba 2,872 sqft"
3721+E+Poppy+St,"$549,000","3 bds 2 ba 1,386 sqft"
1318+E+2nd+St+APT+10,"$519,000","2 bds 2 ba 1,065 sqft"
