,address,price,details,zipcode,lat,lng,zpid,link
2,E Allin St,"$1,695/m",1 bd1 ba 649 sqft,90803,33.75883,-118.14618,2081530757,https://www.zillow.com/homedetails/E-Allin-St-Long-Beach-CA-90803/2081530757_zpid/
4,120 Corinthian Walk,"$3,800/m",3 bds 1 ba 924 sqft,90803,33.754459,-118.122759,21215952,https://www.zillow.com/homedetails/120-Corinthian-Walk-Long-Beach-CA-90803/21215952_zpid/
5,215 E Roosevelt Rd APT B,"$3,250/m","3 bds 3 ba 1,400 sqft",90807,33.829291,-118.190597,2126896857,https://www.zillow.com/homedetails/215-E-Roosevelt-Rd-APT-B-Long-Beach-CA-90807/2126896857_zpid/
6,120 Alamitos Ave APT 18,"$1,695/m",1 bd1 ba 625 sqft,90802,33.767804,-118.182118,21231053,https://www.zillow.com/homedetails/120-Alamitos-Ave-APT-18-Long-Beach-CA-90802/21231053_zpid/
8,1135 Termino Ave APT 7,"$1,400/m",1 bd1 ba 560 sqft,90804,33.781527,-118.146049,2104835402,https://www.zillow.com/homedetails/1135-Termino-Ave-APT-7-Long-Beach-CA-90804/2104835402_zpid/
9,4229 E Massachusetts St,"$2,695/m","2 bds 2 ba 2,282 sqft",90814,33.769248,-118.142988,21223668,https://www.zillow.com/homedetails/4229-E-Massachusetts-St-Long-Beach-CA-90814/21223668_zpid/
10,1482 Henderson Ave,"$1,500/m",1 bd1 ba 475 sqft,90813,33.785808,-118.196993,2086954012,https://www.zillow.com/homedetails/1482-Henderson-Ave-Long-Beach-CA-90813/2086954012_zpid/
11,6056 E Spring St,"$3,500/m","4 bds 2 ba 1,644 sqft",90815,33.810104,-118.113165,21206063,https://www.zillow.com/homedetails/6056-E-Spring-St-Long-Beach-CA-90815/21206063_zpid/
12,1661 Park Ave APT 7,"$1,925/m",2 bds 1 ba 925 sqft,90815,33.788179,-118.136904,2099104916,https://www.zillow.com/homedetails/1661-Park-Ave-APT-7-Long-Beach-CA-90815/2099104916_zpid/
13,5256 E The Toledo APT 1,"$1,895/m",1 bd1 ba 420 sqft,90803,33.762156,-118.132097,2081532788,https://www.zillow.com/homedetails/5256-E-The-Toledo-APT-1-Long-Beach-CA-90803/2081532788_zpid/
14,2603 Knoxville Ave,"$2,800/m","3 bds 2 ba 1,450 sqft",90815,33.803546,-118.104695,21208343,https://www.zillow.com/homedetails/2603-Knoxville-Ave-Long-Beach-CA-90815/21208343_zpid/
