address,price,details
Banner+Circle+Apartments,"$1,450+/",1 bd1 ba 630 sqft
Camden+Harbor+View+|+40+Cedar+Walk,"$1,977+ ","1 bd$2,482+ 2 bds "
E+Allin+St,"$1,695/m",1 bd1 ba 649 sqft
1900+Ocean+Beach+Club+|+1900+E+Ocean+Blvd,"$2,000+ ","Studio$2,575+ 1 bd$3,600+ 2 bds $7,000 3 bds "
120+Corinthian+Walk,"$3,800/m",3 bds 1 ba 924 sqft
215+E+Roosevelt+Rd+APT+B,"$3,250/m","3 bds 3 ba 1,400 sqft"
120+Alamitos+Ave+APT+18,"$1,695/m",1 bd1 ba 625 sqft
Studio,"$1,395/m",Studio1 ba 520 sqft
1135+Termino+Ave+APT+7,"$1,400/m",1 bd1 ba 560 sqft
4229+E+Massachusetts+St,"$2,695/m","2 bds 2 ba 2,282 sqft"
1482+Henderson+Ave,"$1,500/m",1 bd1 ba 475 sqft
6056+E+Spring+St,"$3,500/m","4 bds 2 ba 1,644 sqft"
1661+Park+Ave+APT+7,"$1,925/m",2 bds 1 ba 925 sqft
5256+E+The+Toledo+APT+1,"$1,895/m",1 bd1 ba 420 sqft
2603+Knoxville+Ave,"$2,800/m","3 bds 2 ba 1,450 sqft"
1+bed,"$1,395+ ",1 bd
1512+Sherman+Pl,"$1,600 1"," bd$1,900+ 2 bds "
2728+E+3rd+St+APT+4,"$1,525/m",2 bds 1 ba -- sqft
555+Maine+Ave+UNIT+429,"$1,995/m",2 bds 2 ba 786 sqft
1425+E+Ocean+Blvd+APT+14,"$1,495/m",1 bd1 ba 570 sqft
2662+E+2nd+St+UNIT+B3,"$2,475/m","2 bds 2 ba 1,323 sqft"
3601+E+Vermont+St,"$1,495 S","tudio$1,695+ 1 bd"
6624-28+Delta+Avenue+|+6624-28+Delta+Ave,"$1,895+ ",2 bds 
The+Current+|+707+E+Ocean+Blvd,"$2,200+ ","Studio$2,685+ 1 bd$3,310+ 2 bds "
1+Time+Rental+|+1+Time+Rental,"$2,200+ ",2 bds 
1382+Loma+Ave,"$1,600 1"," bd$1,700 2 bds "
506+Ohio+Ave+APT+5,"$2,195/m",2 bds 2 ba 895 sqft
1000+Redondo+Ave.+|+1000+Redondo+Ave,"$1,295+ ","Studio$1,650 1 bd"
3515+E+Ocean+Blvd+APT+2,"$2,195/m","2 bds 2 ba 1,100 sqft"
3514+E+4th+Street+|+3514+E+4th+St,"$1,595+ ",1 bd
1600+Ocean+Boulevard+|+1600+E+Ocean+Blvd,"$1,300+ ",Studio
279+Temple+Ave+APT+15,"$2,195/m","2 bds 1.5 ba 1,000 sqft"
1001+E+Hill+St+APT+2,"$1,895/m",2 bds 1 ba 750 sqft
Lincoln+Plaza+Towers+|+545+Chestnut+Ave,"$1,600 1"," bd$2,150 2 bds "
1118+1/2+E+16th+St,"$2,300/m",4 bds 2 ba -- sqft
1738+Junipero+Ave+#+C,"$1,795/m",2 bds 1 ba 900 sqft
1055+Magnolia+Ave,"$2,895/m","3 bds 2 ba 2,086 sqft"
Ocean+Elements+at+Belmont+Shores+|+40+Bay+Shore+Ave,"$1,850+ ","1 bd$2,200+ 2 bds "
2124+E+Florida+St,"$1,300/m","1 bd1 ba 4,640 sqft"
1210+Bennett+Ave+APT+05,"$1,595/m",1 bd1 ba 548 sqft
Long+Beach+Towers+|+600+E+Ocean+Blvd,"$2,380+ ","1 bd$3,020+ 2 bds $4,200 3 bds "
251+Cherry+Ave+APT+18,"$1,125/m",Studio1 ba -- sqft
803+Cedar+Ave,"$1,995/m",3 bds 2 ba 650 sqft
1720+Obispo+Ave+#6,"$1,695+/",2 bds 1 ba 800 sqft
360+Lime+Avenue+|+360+Lime+Ave,"$1,450 S","tudio$1,745 1 bd"
1440+E+South+St+APT+34,"$1,300/m",1 bd1 ba 700 sqft
AMLI+Park+Broadway+|+245+W+Broadway,"$2,250+ ","Studio$2,565+ 1 bd$3,365+ 2 bds "
Avana+on+Pine+|+245+Pine+Ave,"$2,021+ ","1 bd$2,540+ 2 bds "
231+Grand+Ave+APT+2,"$1,595/m",1 bd1 ba 690 sqft
640+W+4th+St,"$1,800+ ",1 bd
955+1/2+E+4th+St,"$2,200/m","2 bds 1 ba 1,100 sqft"
851+Pine+Avenue+|+851+Pine+Ave,"$1,725+ ",1 bd
2022+E+7th+St+APT+6,"$1,895/m",2 bds 2 ba -- sqft
220+Mira+Mar+Ave,"$3,150/m","3 bds 2.5 ba 4,535 sqft"
3529+E+3rd+St,"$1,350 1"," bd$1,895 2 bds "
Sofi+at+3rd+|+225+W+3rd+St,"$1,701+ ","Studio$2,013+ 1 bd$2,651+ 2 bds "
Pacific+View+Apartment+Homes+|+5025+E+Pacific+Coast+Hwy,"$1,585+ ","Studio$1,705+ 1 bd"
2527+Elm+Ave+APT+B,"$1,795/m",1 bd1 ba 650 sqft
450+Daroca+Ave,"$3,300/m","4 bds 2 ba 1,688 sqft"
355+Coronado+Ave+|+355+Coronado+Ave,"$1,675+ ","1 bd$2,795 3 bds "
5505+Ackerfield+Ave,"$2,100 2"," bds $2,700 3 bds "
5371+E+29th+St,"$4,995/m","5 bds 3 ba 2,150 sqft"
361+E+Peace+St+#+363,"$1,350/m",1 bd1 ba 600 sqft
363+E+Peace+St+#+363,"$1,350/m",1 bd1 ba 600 sqft
1334+Bennett+Ave,"$2,025/m",2 bds 1 ba 750 sqft
1980+E+68th+St+APT+C,"$1,850/m",2 bds 1 ba -- sqft
1824+E+Appleton+St,"$1,595/m","1 bd1 ba 3,572 sqft"
372+Carroll+Park+E,"$2,195+ ",2 bds 
715+E+5th+St+APT+04,"$1,250/m",Studio1 ba 450 sqft
137+Cherry+Ave+APT+1,"$1,895/m","1 bd1 ba 1,040 sqft"
914+N+Loma+Vista+Dr+APT+D,"$1,350/m",1 bd1 ba 530 sqft
335+Cedar+Ave+UNIT+407,"$1,500/m",1 bd1 ba 525 sqft
1038+E+Carson+St+APT+8,"$2,195/m",2 bds 1 ba 950 sqft
235-237+Linden+Avenue+|+235-237+Linden+Ave,"$1,395 S","tudio$1,595+ 1 bd"
5117+E+The+Toledo+APT+2,"$1,900/m",1 bd1 ba 750 sqft
918+Euclid+Ave+APT+6,"$1,750/m",2 bds 1 ba -- sqft
Hathaway+|+3500+Hathaway+Ave,"$1,755+ ","1 bd$2,390+ 2 bds "
611+Walnut+Avenue+|+611+Walnut+Ave,"$1,695+ ",1 bd
28+Cerritos+Ave+UNIT+105,"$1,925/m",2 bds 2 ba -- sqft
415+E+46th+St,"$2,500/m","2 bds 1 ba 1,005 sqft"
W+4th+St,"$2,245/m",1 bd1 ba 640 sqft
905+Gaviota+Ave+APT+03,"$1,795/m",2 bds 1 ba -- sqft
1435+E+Ocean+Boulevard+|+1435+E+Ocean+Blvd,"$1,150+ ",Studio
939+E+2nd+St,"$1,775/m",1 bd1 ba 900 sqft
5065+Brayton+Ave,"$2,800/m",2 bds 1 ba 861 sqft
4219+N+Virginia+Rd,"$5,500/m","4 bds 4 ba 2,995 sqft"
6798+Lewis+Ave,"$2,500/m","2 bds 2 ba 1,337 sqft"
388+E+Ocean+Blvd,"$2,100+ ","1 bd$4,500 3 bds "
1330+E+10th+St,"$1,800 2"," bds $2,200 3 bds "
2222+Eucalyptus+Ave+#+2222,"$1,600/m",1 bd1 ba -- sqft
1241+Dawson+Ave+APT+9,"$1,125/m",Studio1 ba 400 sqft
5500+Ackerfield+Ave+UNIT+506,"$2,850/m","3 bds 2 ba 1,025 sqft"
835+Newport+Ave,"$3,200/m","3 bds 2 ba 1,100 sqft"
1445-1501+E+4th+Street+|+1445-1501+E+4th+St,"$1,295 S","tudio$1,550 1 bd"
941+E+20th+St+#+1,"$2,295/m","2 bds 1 ba 1,100 sqft"
5256+E+The+Toledo,"$1,895/m",1 bd1 ba 750 sqft
1214+Belmont+Ave,"$1,800/m",2 bds 1 ba 805 sqft
Griffis+Pine+Avenue+|+404+Pine+Ave,"$1,941+ ","Studio$2,154+ 1 bd$2,463+ 2 bds "
Renaissance+Terrace+|+926+Locust+Ave,"$1,650+ ","1 bd$1,975 2 bds "
Edison+|+100+Long+Beach+Blvd,"$2,010+ ","Studio$2,260+ 1 bd$2,905+ 2 bds "
315+Gladys+Ave+APT+2,"$1,895/m",2 bds 1 ba 900 sqft
440+Orange+Avenue+|+440+Orange+Ave,"$1,495 1"," bd$1,795 2 bds "
1+bed,"$1,550/m",1 bd1 ba -- sqft
3428+E+1st+Street+|+3428+E+1st+St,"$1,950 1"," bd$2,550 2 bds "
1151+Walnut+Ave+APT+30,"$1,600/m",2 bds 1 ba 665 sqft
827+Temple+Ave,"$3,100/m","3 bds 2 ba 1,150 sqft"
4027+E+3rd+St,"$1,495 1"," bd$1,565 2 bds "
3826+E+1st+Street+D+#+3826D,"$1,295/m",Studio1 ba -- sqft
141+Park+Ave,"$4,395/m","3 bds 1.5 ba 1,925 sqft"
1739+E+Broadway+#+10,"$2,300/m",2 bds 2 ba 986 sqft
5206+Marina+Pacifica+Dr+S,"$2,795+ ","1 bd$3,100+ 2 bds $4,000 3 bds "
3617+E+4th+St+APT+3,"$1,625/m",1 bd1 ba 550 sqft
1203+E+Florida+St,"$1,225+ ",Studio
670+Quincy+Ave,"$2,175/m","2 bds 1.5 ba 1,200 sqft"
901+Linden+Ave+APT+3,"$1,495/m",1 bd1 ba 581 sqft
850+E+Ocean+Blvd,"$2,695 1"," bd$4,000+ 2 bds $6,000 3 bds "
5585+E+Pacific+Coast+Hwy,"$1,450 S","tudio$1,595 1 bd"
927+Gladys+Ave,"$1,300/m",1 bd1 ba -- sqft
402+E+1st+St+UNIT+202,"$2,100/m",1 bd1 ba 800 sqft
677+Ultimo+Ave,"$3,495/m","2 bds 1.5 ba 1,600 sqft"
W+4th+St,"$2,245/m",1 bd1 ba 640 sqft
905+Gaviota+Ave+APT+03,"$1,795/m",2 bds 1 ba -- sqft
1435+E+Ocean+Boulevard+|+1435+E+Ocean+Blvd,"$1,150+ ",Studio
939+E+2nd+St,"$1,775/m",1 bd1 ba 900 sqft
5065+Brayton+Ave,"$2,800/m",2 bds 1 ba 861 sqft
4219+N+Virginia+Rd,"$5,500/m","4 bds 4 ba 2,995 sqft"
6798+Lewis+Ave,"$2,500/m","2 bds 2 ba 1,337 sqft"
388+E+Ocean+Blvd,"$2,100+ ","1 bd$4,500 3 bds "
1330+E+10th+St,"$1,800 2"," bds $2,200 3 bds "
2222+Eucalyptus+Ave+#+2222,"$1,600/m",1 bd1 ba -- sqft
1241+Dawson+Ave+APT+9,"$1,125/m",Studio1 ba 400 sqft
5500+Ackerfield+Ave+UNIT+506,"$2,850/m","3 bds 2 ba 1,025 sqft"
835+Newport+Ave,"$3,200/m","3 bds 2 ba 1,100 sqft"
1445-1501+E+4th+Street+|+1445-1501+E+4th+St,"$1,295 S","tudio$1,550 1 bd"
941+E+20th+St+#+1,"$2,295/m","2 bds 1 ba 1,100 sqft"
5256+E+The+Toledo,"$1,895/m",1 bd1 ba 750 sqft
1214+Belmont+Ave,"$1,800/m",2 bds 1 ba 805 sqft
Griffis+Pine+Avenue+|+404+Pine+Ave,"$1,941+ ","Studio$2,154+ 1 bd$2,463+ 2 bds "
Renaissance+Terrace+|+926+Locust+Ave,"$1,650+ ","1 bd$1,975 2 bds "
Edison+|+100+Long+Beach+Blvd,"$2,010+ ","Studio$2,260+ 1 bd$2,905+ 2 bds "
440+Orange+Avenue+|+440+Orange+Ave,"$1,495 1"," bd$1,795 2 bds "
315+Gladys+Ave+APT+2,"$1,895/m",2 bds 1 ba 900 sqft
1+bed,"$1,550/m",1 bd1 ba -- sqft
3428+E+1st+Street+|+3428+E+1st+St,"$1,950 1"," bd$2,550 2 bds "
1151+Walnut+Ave+APT+30,"$1,600/m",2 bds 1 ba 665 sqft
827+Temple+Ave,"$3,100/m","3 bds 2 ba 1,150 sqft"
4027+E+3rd+St,"$1,495 1"," bd$1,565 2 bds "
3826+E+1st+Street+D+#+3826D,"$1,295/m",Studio1 ba -- sqft
141+Park+Ave,"$4,395/m","3 bds 1.5 ba 1,925 sqft"
1739+E+Broadway+#+10,"$2,300/m",2 bds 2 ba 986 sqft
5206+Marina+Pacifica+Dr+S,"$2,795+ ","1 bd$3,100+ 2 bds $4,000 3 bds "
1203+E+Florida+St,"$1,225+ ",Studio
3617+E+4th+St+APT+3,"$1,625/m",1 bd1 ba 550 sqft
670+Quincy+Ave,"$2,175/m","2 bds 1.5 ba 1,200 sqft"
901+Linden+Ave+APT+3,"$1,495/m",1 bd1 ba 581 sqft
850+E+Ocean+Blvd,"$2,695 1"," bd$4,000+ 2 bds $6,000 3 bds "
5585+E+Pacific+Coast+Hwy,"$1,450 S","tudio$1,595 1 bd"
927+Gladys+Ave,"$1,300/m",1 bd1 ba -- sqft
402+E+1st+St+UNIT+202,"$2,100/m",1 bd1 ba 800 sqft
677+Ultimo+Ave,"$3,495/m","2 bds 1.5 ba 1,600 sqft"
577+Walnut+Ave+APT+B,"$1,225/m",Studio1 ba 375 sqft
1+bed,"$1,300/m",1 bd1 ba 574 sqft
354+Hermosa+Ave+#+4,"$1,650/m",1 bd1 ba -- sqft
4874+E+Los+Coyotes+Diagonal+|+4874+E+Los+Coyotes+Diagonal,"$2,050+ ",2 bds 
2357+Magnolia+Ave,"$2,800/m","3 bds 2 ba 1,100 sqft"
1135+Raymond+Ave+APT+03,"$1,695/m",2 bds 1 ba -- sqft
1724+Obispo+Ave+APT+2,"$1,625/m",1 bd1 ba 600 sqft
641+E+Carson+St+APT+4,"$1,395/m",Studio1 ba 400 sqft
Cozy+Studio+Near+Downtown+with+Gated+Entry!+|+943+Lime+Ave,"$1,225+ ",Studio
342+1/2+E+7th+St+#+6269127,"$1,595/m",1 bd1 ba 650 sqft
679+Obispo+Avenue+|+679+Obispo+Ave,"$1,425+ ",1 bd
1617+E+Appleton+St+APT+5,"$1,295/m",1 bd1 ba -- sqft
5230+Long+Beach+Blvd+APT+11,"$1,435/m",1 bd1 ba 600 sqft
701+Linden+Avenue+|+701+Linden+Ave,"$1,250+ ",Studio
129+Bennett+Avenue+|+129+Bennett+Ave,"$1,700+ ","1 bd$2,100 2 bds "
5419+E+The+Toledo,"$2,250/m",2 bds 1 ba 800 sqft
1088+Alamitos+Ave+APT+X,"$1,375/m",1 bd1 ba 550 sqft
