"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,2250,2369,2300,2350,2500,2550,2499,2450,2200,2200,2400,2500,2500,2350,2300,2400,2300,2350,2430,2400,2400,2450,2495,2500,2500,2500,2500,2550,2595,2600,2600,2600,2595,2650,2613,2650,2699,2700,2640,2650,2700,2700,2650,2620,2600,2600,2600,2600,2650,2640,2300,2250,2295,2250,2275,2200,2200,2260,2295,2350,2375,2300,2250,2300,2300,2250,2200,2200,2200,2200,2200,2295,2300,2350,2350,2350,2400,2495,2400,2200,2250,2300,2300,2350,2375,2395,2395,2400,2400,2350,2300,2299,2300,2300,2300,2399,2400,2400,2400,2400,2400,2325,2300,2295,2300,2300,2350,2400,2400,2450,2450,2475,2475,2400,2400
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,1262.5,1267.5,1352.5,1295,1326,1350,1350,1350,1375,1350,1305,1290,1250,1250,1200,1275,1350,1400,1395,1420,1400,1395,1395,1450,1520,1529,1444,1450,1575,1588,1553,1550,1550,1475,1450,1495,1500,1375,1525,1495,1490,1450,1495,1580,1595,1650,1695,1700,1750,1725,1775,1755,1795,1795,1750,1795,1810,1800.5,1800,1845,1850,1850,1847,1985,1995,2020,2020,2006.5,1995,1958.5,1946.5,1995,1928.5,1930,1850,1969,2020,2100,2079,2077.5,2099,2150,2100,2122.5,2124.5,2095,2095,2069.5,2100,2100,1995,2115,2225,2270,2335,2335.5,2370,2350,2355,2365,2345,2360,2395,2370,2395,2395,2400,2425,2350,2328
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260,1119,1224,1125,1072,1105,1210,1212,1234.5,1200,1229,1245,1184,1199,1190,1200,1200,1225,1230,1225,1225,1225,1240,1240,1356,1355,1373.5,1295,1325,1300,1295,1281.5,1239,1195,1230,1170,1109,1150,1200,1230,1240,1250,1250,1220,1210.5,1229,1240,1250,1270,1283,1282,1308,1315,1315,1300,1300,1291,1292,1277,1271,1278,1265,1250,1250,1265,1270,1269,1286,1275,1275,1270,1264,1245
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,,,,,,,,,1355,1352,1394.5,1235,1275,1250,1285,1300,1375,1345,1300,1325,1329,1345,1381,1395,1341,1280,1250,1326.5,1395,1400,1400,1465,1500,1477,1500,1500,1600,1500,1550,1584,1600,1590,1594,1570,1545,1588,1643,1620,1549,1510,1498.5,1495,1542,1638,1525,1674,1700,1650,1495,1600,1658,1501.5,1500,1515,1500,1480,1493,1645.5,1725,1804,1724,1680,1737,1595,1548.5,1535,1505,1490,1494.5,1495,1495,1550.5,1550,1529,1500,1495,1495,1495,1495,1495,1525,1595,1610,1635,1596,1595,1595,1595,1600,1595,1595,1602.5,1612,1600,1595,1626,1640,1669,1675,1695,1650,1650,1632,1600,1580,1595,1540,1550
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,,,,,655,597,595,595,595,600,640,650,650,639,670,675,685.5,715,735,695,685,680,679.5,730,725,708,715,695,711,715,734,750,730,731,729,750,760,775,775,790,799,800,800,800,775,796,786,787.5,780,775,780,789,785,790,779,773.5,775,775,783,795,795,800,850,850,825,820,850,825,800,820,804,820,834,790,808,779.5,810,835,840,850,909,900,886,885,899,900,893.5,900,899,957,938,929,947,961,950,965,950,945,959,945,952,983,985,981,985,999,1000,999,991,985,974.5
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015,1000,1095,1250,1250,1250,1225,1145,1154,1100,1100,1075,1095,1160,1250,1225,1200,1160,1200,1150,1150,1215,1179,1200,1200,1250,1285,1350,1295,1289,1300,1266,1307.5,1289.5,1305.5,1275,1330,1350,1375,1400,1390,1395,1400,1395,1350,1350,1350,1350,1350,1475,1485,1495,1460,1495,1485,1495,1508,1565,1550,1550,1550,1550,1525,1496,1500,1505,1554.5,1495,1498,1500
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,,,,,,,585,585,571,550,619.5,629,648,644.5,595,597,599,625,646,625,620,595,595,640,665,650,650,665,675,690,700,701,695,680,670,669,669,665.5,664,655,660,655,660,650,644,650,700,699,690,700,677,695,680,700,699,700,685,700,700,721,749,739.5,743.5,750,750,754.5,775,780,825,891,875,865,899,858,850,950,850,870,870,858,831,825,905,975,1145,1175,1095,1079.5,995,970,968.5,950,948,940,941,960,970,990,980,993.5,1000,1020,1014,1045,1040,1025,1033,1059,1055,1115,1172,1161,1129,1102,1121.5,1099.5,1110
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,,,,,,,,,,,,,,,,,799,700,700,700,650,600,625,600,620,636,600,599,605,600,600,610,625,625,609,617,615,615,645,675,700,695,650,650,650,650,699,660,650,650,678,689,689,700,710,722.5,737,725,750,725,759,750,750,779,789,803,810,788,755,818.5,873,850,839,869,850,845,875,825,857.5,825,825,825,850,850,905,908,915,899,900,902,925,893,880,869,845,850,895,925,944,950,978,1004,1019,1000,1011.5,998,1000,1004,1002,1002,1010,1009,1025,1010,1040,1028.5,1030,1025
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,,,,,,,,,,,,,1349,1295,1297.5,1250,1250,1350,1400,1462.5,1450,1300,1300,1350,1322.5,1363,1295,1295,1336,1305,1300,1350,1330,1345,1350,1345,1350,1355,1350,1345,1340,1300,1350,1375,1325,1250,1399,1450,1395,1385,1450,1640,1605,1595,1650,1615,1650,1682,1650,1693.5,1710,1655,1695,1699,1705,1735,1788,1800,1770,1750,1761,1750,1750,1767,1754,1700,1700,1850,1728,1812,1695,1724.5,1671.5,1750,1795,1805,1840,1875,1855,1895,1860,1875,1860,1825,1799.5,1827,1875,1875,2008,2044,2065,2038,2025,2000,2000,2043,2042,2020,2020,1995,1990,2000,2050,2100,2100,2100,2049,1995
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,,,,,,,,,,,,,,1000,989,950,985,965.5,879,880,828,795,900,870,865,944.5,875,989,1014.5,975,965,1049,1025,1050,1084,1150,1059.5,1083,1084,1027,1096,1100,1050,1095,1107,1150,1159,1179,1144,1136,1164,1150,1179,1147,1115,1124.5,1150,1199,1199,1160,1125,1118,1151,1149,1168.5,1198,1199,1225,1200,1195,1195,1203,1250.5,1275,1250,1245,1265,1266,1235,1310,1275,1250,1210,1300,1293,1307,1306,1309.5,1319.5,1325,1350,1329,1310,1347.5,1325,1325,1371,1345,1335,1350,1363,1370,1371,1355,1375,1359,1345,1360,1398,1376,1375,1375,1359,1355,1330,1335,1340,1330
