Name,Doctorate,Juris_Doctor,Masters_Degree_30,Masters_Degree,Baccalaureate_Degree_30,Baccalaureate_Degree,None_Reported,Total
Addams Elementary,0,0,1,21,4,9,0,35
Bancroft Middle,0,0,3,17,10,5,0,35
Barton Elementary,0,0,3,14,7,1,0,25
Beach High-Intensive Learning Program,0,0,0,11,4,2,0,17
Birney Elementary,1,0,1,18,6,2,0,28
Bixby Elementary,1,0,1,6,9,1,0,18
Bobbie Smith Elementary,0,0,2,24,12,1,0,39
Bryant Elementary,1,0,1,11,5,0,0,18
Burbank Elementary,0,0,1,19,13,1,0,34
Burcham Elementary,0,0,0,15,2,0,0,17
Cabrillo High,4,0,9,44,41,9,0,107
California Academy Of Mathematics And Science,2,0,4,13,4,2,0,25
Carver Elementary,0,0,2,16,3,0,0,21
Chavez Elementary,0,0,2,9,6,1,0,18
Cleveland Elementary,0,0,0,14,6,1,0,21
Cubberley K-8,3,0,3,29,11,2,0,48
District Office,4,0,10,85,21,6,0,126
Dooley Elementary,0,0,3,23,8,6,0,40
Edison Elementary,0,0,1,20,7,2,0,30
Educational Partnership High,1,0,2,17,1,2,0,23
Emerson Parkside Academy,1,0,2,13,5,0,0,21
"Ernest S. Mcbride, Sr. High",0,0,8,17,4,2,1,32
Eunice Sato Academy Of Math &Amp; Science,0,0,0,12,4,2,0,18
Franklin Classical Middle,0,0,7,26,9,9,0,51
Fremont Elementary,0,0,0,13,6,1,0,20
Gant Elementary,0,0,2,12,10,0,0,24
Garfield Elementary,0,0,1,16,13,2,0,32
Gompers K-8,1,0,2,22,6,1,0,32
Grant Elementary,0,0,2,28,11,3,0,44
Hamilton Middle,0,0,0,16,18,5,0,39
Harte Elementary,0,0,0,25,2,9,0,36
Helen Keller Middle,0,0,1,8,4,2,0,15
Henry,0,0,0,18,9,4,0,31
Holmes Elementary,0,0,4,7,6,2,0,19
Hoover Middle,1,0,4,21,4,1,0,31
Hudson K-8,0,0,0,15,13,4,0,32
Hughes Middle,2,0,6,23,21,3,0,55
Jefferson Leadership Academies,1,0,2,21,13,5,0,42
Jessie Nelson Elementary,0,0,1,19,9,2,0,31
Jordan High,2,0,10,61,34,6,0,113
Kettering Elementary,0,0,1,10,5,1,0,17
King Elementary,1,0,4,23,5,2,0,35
Lafayette Elementary,1,0,1,15,16,5,0,38
Lincoln Elementary,0,0,2,22,12,9,0,45
Lindbergh Stem Academy,1,0,2,11,10,3,0,27
Lindsey Academy,0,0,1,16,11,3,0,31
Longfellow Elementary,0,0,1,19,9,4,0,33
Los Cerritos Elementary,0,0,0,11,6,2,0,19
Lowell Elementary,2,0,0,19,7,2,0,30
Macarthur Elementary,1,0,0,13,2,0,0,16
Madison Elementary,0,0,2,13,2,0,0,17
Mann Elementary,0,0,2,13,2,1,0,18
Marshall Academy Of The Arts,0,0,2,20,14,2,0,38
Mckinley Elementary,0,0,2,15,13,0,0,30
Millikan High,2,0,8,90,43,5,0,148
Muir K-8,1,0,2,30,9,3,0,45
Naples Elementary,0,0,0,10,4,1,0,15
Newcomb Academy,0,0,5,27,6,3,0,41
"Nonpublic, Nonsectarian Schools",0,0,0,0,,,,
Olivia Nieto Herrera Elementary,0,0,4,23,6,3,0,36
Polytechnic High,6,0,14,85,36,27,0,168
Powell Academy For Success,1,0,3,29,13,5,0,51
Prisk Elementary,0,0,1,17,7,0,0,25
Reid High,1,0,0,6,2,0,0,9
Renaissance High School For The Arts,0,0,2,8,8,5,0,23
Richard D. Browning High,0,0,2,5,6,3,0,16
Robinson Academy,0,0,3,20,9,6,0,38
Rogers Middle,1,0,0,18,14,2,0,35
Roosevelt Elementary,0,0,2,25,15,0,0,42
Stanford Middle,0,0,2,26,18,3,0,49
Stephens Middle,0,0,3,14,10,7,0,34
Stevenson Elementary,0,0,0,17,7,3,0,27
Tincher Preparatory,0,0,2,21,8,1,0,32
Twain Elementary,0,0,2,10,9,2,0,23
Washington Middle,1,0,2,19,12,10,0,44
Webster Elementary,0,0,1,16,6,2,0,25
Whittier Elementary,1,0,2,18,12,8,0,41
Willard Elementary,1,0,1,15,9,3,0,29
Wilson High,3,0,9,75,47,25,0,159
