Name,Cumulative_Enrollment,Total_Suspensions,Unduplicated_Suspensions
Addams Elementary,1231,14,10
Bancroft Middle,1046,74,35
Barton Elementary,707,97,56
Beach High-Intensive Learning Program,400,130,87
Birney Elementary,767,2,2
Bixby Elementary,604,0,0
Bobbie Smith Elementary,1026,4,4
Bryant Elementary,410,4,4
Burbank Elementary,999,16,11
Burcham Elementary,683,43,28
Cabrillo High,2958,276,168
California Academy of Mathematics and Science,680,1,1
Carver Elementary,496,1,1
Chavez Elementary,557,42,28
Cleveland Elementary,489,4,3
Cubberley K- 8,1064,3,3
District Office,132,0,0
Dooley Elementary,1176,30,19
Edison Elementary,917,41,29
Educational Partnership High,1846,2,2
Emerson Parkside Academy,656,6,5
"Ernest S. McBride, Sr. High",402,8,8
Eunice Sato Academy of Math & Science,0,0,0
Franklin Classical Middle,1303,201,121
Fremont Elementary,540,0,0
Gant Elementary,604,1,1
Garfield Elementary,843,0,0
Gompers K- 8,754,1,1
Grant Elementary,1343,43,30
Hamilton Middle,999,93,65
Harte Elementary,1185,1,1
Helen Keller Middle,0,,0
Henry K-8,860,0,0
Holmes Elementary,495,7,6
Hoover Middle,909,55,44
Hudson K-8,853,71,43
Hughes Middle,1588,109,73
Jefferson Leadership Academies,1157,221,136
Jessie Nelson Academy,933,67,51
Jordan High,3597,496,317
Kettering Elementary,361,1,1
King Elementary,899,20,20
Lafayette Elementary,1209,37,28
Lincoln Elementary,1428,32,16
Lindbergh STEM Academy,679,96,70
Lindsey Academy,919,158,94
Longfellow Elementary,1154,5,4
Los Cerritos Elementary,569,15,12
Lowell Elementary,788,5,2
MacArthur Elementary,419,13,7
Madison Elementary,511,8,5
Mann Elementary,365,1,1
Marshall Academy of the Arts,904,28,21
McKinley Elementary,832,17,17
Millikan High,3868,122,87
Muir K-8,1153,42,25
Naples Elementary,394,0,0
Newcomb Academy,977,21,14
"Nonpublic, Nonsectarian Schools",270,0,0
Olivia Nieto Herrera Elementary,0,0,0
Polytechnic High,4629,246,167
Powell Academy for Success,1502,119,78
Prisk Elementary,651,0,0
Reid High,387,30,26
Renaissance High School for the Arts,496,7,7
Richard D. Browning High,0,0,0
Robinson Academy,1064,81,53
Rogers Middle,915,71,38
Roosevelt Elementary,1266,37,25
Stanford Middle,1287,37,30
Stephens Middle,849,167,100
Stevenson Elementary,961,27,22
Tincher Preparatory,888,27,16
Twain Elementary,610,1,1
Washington Middle,1211,208,141
Webster Elementary,676,7,5
Whittier Elementary,1186,50,33
Willard Elementary,1020,21,14
Wilson High,4118,192,151
