Name,Chronic_Absenteeism_Eligible_Enrollment,Chronic_Absenteeism_Count
Addams Elementary,971,121
Bancroft Middle,956,91
Barton Elementary,568,107
Beach High-Intensive Learning Program,189,128
Birney Elementary,647,88
Bixby Elementary,494,59
Bobbie Smith Elementary,892,123
Bryant Elementary,386,60
Burbank Elementary,763,146
Burcham Elementary,440,34
Cabrillo High,2250,587
California Academy of Mathematics and Science,667,23
Carver Elementary,536,19
Chavez Elementary,397,61
Cleveland Elementary,481,38
Cubberley K-8,1018,80
District Office,1,0
Dooley Elementary,1029,158
Edison Elementary,608,111
Educational Partnership High,1338,633
Emerson Parkside Academy,466,33
"Ernest S. McBride, Sr. High",747,59
Eunice Sato Academy of Math & Science,406,20
Franklin Classical Middle,1337,260
Fremont Elementary,515,34
Gant Elementary,570,44
Garfield Elementary,731,87
Gompers K-8,714,64
Grant Elementary,1170,164
Hamilton Middle,974,193
Harte Elementary,965,200
Helen Keller Middle,357,14
Henry,852,32
Holmes Elementary,417,65
Hoover Middle,778,107
Hudson K-8,683,155
Hughes Middle,1501,119
Jefferson Leadership Academies,1134,221
Jenny Oropeza Elementary,744,126
Jordan High,2580,816
Kettering Elementary,340,33
King Elementary,769,108
Lafayette Elementary,955,131
Lincoln Elementary,1053,98
Lindbergh STEM Academy,655,138
Lindsey Academy,792,112
Longfellow Elementary,1012,93
Los Cerritos Elementary,536,42
Lowell Elementary,676,50
MacArthur Elementary,380,37
Madison Elementary,376,38
Mann Elementary,394,42
Marshall Academy of the Arts,920,87
McKinley Elementary,695,106
Millikan High,3566,522
Muir K-8,1113,139
Naples Elementary,356,22
Newcomb Academy,794,48
"Nonpublic, Nonsectarian Schools",0,0
Olivia Nieto Herrera Elementary,890,105
Polytechnic High,4093,750
Powell Academy for Success,1130,227
Prisk Elementary,581,31
Reid High,280,228
Renaissance High School for the Arts,455,90
Richard D. Browning High,284,59
Robinson Academy,958,116
Rogers Middle,892,72
Roosevelt Elementary,1080,154
Stanford Middle,1261,95
Stephens Middle,824,142
Stevenson Elementary,703,134
Tincher Preparatory,727,52
Twain Elementary,586,66
Washington Middle,1112,177
Webster Elementary,589,102
Whittier Elementary,996,161
Willard Elementary,695,119
Wilson High,3777,739
