,Name,Cumulative_Enrollment,Total_Suspensions,Unduplicated_Suspensions
0,Addams Elementary,1231,14,10
1,Alvarado Elementary,551,2,2
2,Avalon K-12,645,4,4
3,Bancroft Middle,1046,74,35
4,Barton Elementary,707,97,56
5,Beach High-Intensive Learning Program,400,130,87
6,Birney Elementary,767,2,2
7,Bixby Elementary,604,0,0
8,Bobbie Smith Elementary,1026,4,4
9,Bryant Elementary,410,4,4
10,Burbank Elementary,999,16,11
11,Burcham Elementary,683,43,28
12,Cabrillo High,2958,276,168
13,California Academy of Mathematics and Science,680,1,1
14,Carver Elementary,496,1,1
15,Chavez Elementary,557,42,28
16,Cubberley K- 8,1064,3,3
17,District Office,132,0,0
18,Dooley Elementary,1176,30,19
19,Edison Elementary,917,41,29
20,Educational Partnership High,1846,2,2
21,Emerson Parkside Academy,656,6,5
22,"Ernest S. McBride, Sr. High",402,8,8
23,Franklin Classical Middle,1303,201,121
24,Fremont Elementary,540,0,0
25,Gant Elementary,604,1,1
26,Garfield Elementary,843,0,0
27,Gompers K- 8,754,1,1
28,Grant Elementary,1343,43,30
29,Hamilton Middle,999,93,65
30,Harte Elementary,1185,1,1
31,Henry K-8,860,0,0
32,Hill Classical Middle,499,21,18
33,Holmes Elementary,495,7,6
34,Hudson K-8,853,71,43
35,Hughes Middle,1588,109,73
36,International Elementary,943,20,12
37,Jefferson Leadership Academies,1157,221,136
38,Jessie Nelson Academy,933,67,51
39,Jordan High,3597,496,317
40,Kettering Elementary,361,1,1
41,King Elementary,899,20,20
42,Lafayette Elementary,1209,37,28
43,Lakewood High,3702,280,206
44,Lee Elementary,1213,18,12
45,Lincoln Elementary,1428,32,16
46,Lindbergh STEM Academy,679,96,70
47,Lindsey Academy,919,158,94
48,Longfellow Elementary,1154,5,4
49,Los Cerritos Elementary,569,15,12
50,Lowell Elementary,788,5,2
51,MacArthur Elementary,419,13,7
52,Mann Elementary,365,1,1
53,Marshall Academy of the Arts,904,28,21
54,McKinley Elementary,832,17,17
55,Millikan High,3868,122,87
56,Muir K-8,1153,42,25
57,Naples Elementary,394,0,0
58,Newcomb Academy,977,21,14
59,"Nonpublic, Nonsectarian Schools",270,0,0
60,Polytechnic High,4629,246,167
61,Powell Academy for Success,1502,119,78
62,Prisk Elementary,651,0,0
63,Reid High,387,30,26
64,Renaissance High School for the Arts,496,7,7
65,Riley Elementary,455,0,0
66,Robinson Academy,1064,81,53
67,Rogers Middle,915,71,38
68,Roosevelt Elementary,1266,37,25
69,Signal Hill Elementary,964,23,13
70,Stanford Middle,1287,37,30
71,Stephens Middle,849,167,100
72,Stevenson Elementary,961,27,22
73,Tincher Preparatory,888,27,16
74,Twain Elementary,610,1,1
75,Washington Middle,1211,208,141
76,Webster Elementary,676,7,5
77,Whittier Elementary,1186,50,33
78,Willard Elementary,1020,21,14
79,Wilson High,4118,192,151
